"Time","controller","gateway","kvm1","kvm2","storage"
2020-06-11 16:10:55,96.04711512421541,85.25114566958459,45.20195368127504,45.21968020947013,39.994295809796945
2020-06-11 16:11:00,96.0474579292519,85.25114566958459,45.20195368127504,45.21968020947013,39.99310743683798
2020-06-11 16:11:05,96.0474579292519,85.25271373745056,45.2059149166259,45.21809571532979,39.99310743683798
2020-06-11 16:11:10,96.04975962021119,85.25271373745056,45.2059149166259,45.21809571532979,40.30267859264952
2020-06-11 16:11:15,96.04975962021119,85.25428180531654,45.20512266955573,45.218887962399954,40.30267859264952
2020-06-11 16:11:20,96.05166953398594,85.25428180531654,45.20512266955573,45.218887962399954,40.00756597450545
2020-06-11 16:11:25,96.05166953398594,85.24800953385264,45.20353817541538,45.21730346825961,40.00756597450545
2020-06-11 16:11:30,96.05710544242173,85.24800953385264,45.20353817541538,45.21730346825961,40.00766500558536
2020-06-11 16:11:35,96.05710544242173,85.25271373745056,45.199576940064524,45.21571897411927,40.00766500558536
2020-06-11 16:11:40,96.05705647027366,85.25271373745056,45.199576940064524,45.21571897411927,40.00647663262639
2020-06-11 16:11:45,96.05705647027366,85.2433053302547,45.20353817541538,45.2149267270491,40.00647663262639
2020-06-11 16:11:50,96.05588113871998,85.2433053302547,45.20353817541538,45.2149267270491,40.00330763806913
2020-06-11 16:11:55,96.05588113871998,85.25741794104849,45.20195368127504,45.21413447997893,40.00330763806913
2020-06-11 16:12:00,96.05705647027366,85.25741794104849,45.20195368127504,45.21413447997893,40.006872756946045
2020-06-11 16:12:05,96.05705647027366,85.26055407678044,45.200369187134704,45.21730346825961,40.006872756946045
2020-06-11 16:12:10,96.05548936153542,85.26055407678044,45.200369187134704,45.21730346825961,40.29544932381579
2020-06-11 16:12:15,96.05548936153542,85.26212214464643,45.20512266955573,45.21334223290876,40.29544932381579
2020-06-11 16:12:20,96.06386359885542,85.26212214464643,45.20512266955573,45.21334223290876,40.00261442050973
2020-06-11 16:12:25,96.06386359885542,85.26525828037838,45.206707163696066,45.21730346825961,40.00261442050973
2020-06-11 16:12:30,96.0630800444863,85.26525828037838,45.206707163696066,45.21730346825961,40.001822171870415
2020-06-11 16:12:35,96.0630800444863,85.25898600891446,45.212153862303495,45.21571897411927,40.001822171870415
2020-06-11 16:12:40,96.06498995826104,85.25898600891446,45.212153862303495,45.21571897411927,40.004595042108015
2020-06-11 16:12:45,96.06498995826104,85.28035093358841,45.210569368163156,45.221957919796864,40.004595042108015
2020-06-11 16:12:50,96.0676834264049,85.28035093358841,45.210569368163156,45.221957919796864,40.00538729074733
2020-06-11 16:12:55,96.0676834264049,85.27251059425852,45.20977712109298,45.22116567272669,40.00538729074733
2020-06-11 16:13:00,96.0680262314414,85.27251059425852,45.20977712109298,45.22116567272669,40.004595042108015
2020-06-11 16:13:05,96.0680262314414,85.2662383227946,45.207400379882465,45.21958117858635,40.004595042108015
2020-06-11 16:13:10,96.06959334017964,85.2662383227946,45.207400379882465,45.21958117858635,40.30030184673158
2020-06-11 16:13:15,96.06959334017964,85.27564672999047,45.20888584313904,45.215619943235495,40.30030184673158
2020-06-11 16:13:20,96.06685089988771,85.27564672999047,45.20888584313904,45.215619943235495,39.99023553552047
2020-06-11 16:13:25,96.06685089988771,85.27564672999047,45.21601606677058,45.217204437375834,39.99023553552047
2020-06-11 16:13:30,96.06763445425683,85.27564672999047,45.21601606677058,45.217204437375834,39.991721001719185
2020-06-11 16:13:35,96.06763445425683,85.28191900145438,45.21443157263024,45.2274046184043,39.991721001719185
2020-06-11 16:13:40,96.06645912270314,85.28191900145438,45.21443157263024,45.2274046184043,39.99488999627643
2020-06-11 16:13:45,96.06645912270314,85.27251059425852,45.21205483141972,45.228196865474466,39.99488999627643
2020-06-11 16:13:50,96.06719370492421,85.27251059425852,45.21205483141972,45.228196865474466,39.998058990833684
2020-06-11 16:13:55,96.06719370492421,85.27564672999047,45.2135402946763,45.22661237133413,39.998058990833684
2020-06-11 16:14:00,96.07184605899087,85.27564672999047,45.2135402946763,45.22661237133413,39.99766286651403
2020-06-11 16:14:05,96.07184605899087,85.26937445852656,45.21670928295698,45.227305587520526,39.99766286651403
2020-06-11 16:14:10,96.07067072743718,85.26937445852656,45.21670928295698,45.227305587520526,40.25494561213091
2020-06-11 16:14:15,96.07067072743718,85.27858685723918,45.21512478881664,45.22572109338018,40.25494561213091
2020-06-11 16:14:20,96.07336419558105,85.27858685723918,45.21512478881664,45.22572109338018,40.00558535290716
2020-06-11 16:14:25,96.07336419558105,85.28015492510515,45.2135402946763,45.2280978345907,40.00558535290716
2020-06-11 16:14:30,96.07370700061753,85.28015492510515,45.2135402946763,45.2280978345907,40.001327016470846
2020-06-11 16:14:35,96.07370700061753,85.27388265364125,45.211955800535954,45.22651334045036,40.001327016470846
2020-06-11 16:14:40,96.07409877780209,85.27388265364125,45.211955800535954,45.22651334045036,40.00608050830673
2020-06-11 16:14:45,96.07409877780209,85.28799526443504,45.207994565185096,45.22334435216967,40.00608050830673
2020-06-11 16:14:50,96.07483336002316,85.28799526443504,45.207994565185096,45.22334435216967,40.00142604755076
2020-06-11 16:14:55,96.07483336002316,85.28015492510515,45.21750153002715,45.228890081660865,40.00142604755076
2020-06-11 16:15:00,96.07174811469473,85.28015492510515,45.21750153002715,45.228890081660865,39.99904930163283
2020-06-11 16:15:05,96.07174811469473,85.28172299297113,45.21591703588681,45.227305587520526,39.99904930163283
2020-06-11 16:15:10,96.07292344624841,85.28172299297113,45.21591703588681,45.227305587520526,40.28415978070557
